Movie Name,Release Period,Release Period2,Release Period3,Whether Remake,whether franchise ,Whether Franchise,Genre,new actor,New Actor2,new director,New Director2,new music ,New Music Director,Lead Star,Director,Music Director,Number of Screens,Budget(INR),Revenue(INR),Verdict
Naughty Boy,1,Normal,0,No,0,No,comedy,0,No,0,No,0,No,Rahul Roy,T.L.V. Prasad,Arun Daga,70,"₹ 1,75,00,000.00","₹ 67,00,000.00",Flop
Phir Tauba Tauba,0,Holiday,0,No,1,Yes,comedy,0,No,0,No,0,No,Rahul Roy,T.L.V. Prasad,Nazakat - Shujat,60,"₹ 2,00,00,000.00","₹ 30,00,000.00",Flop
Don't Break My Heart - Her Story,0,Holiday,0,No,0,No,drama,0,No,1,Yes,1,Yes,Rahul Roy,Trilok Chaudhary,Sunil Khosla,10,"₹ 60,00,000.00","₹ 1,55,000.00",Flop
Kachchi Sadak,1,Normal,0,No,0,No,action,1,Yes,1,Yes,0,No,Rahul Singh,Sanjay D. Singh,Uttam Singh,20,"₹ 1,75,00,000.00","₹ 25,25,000.00",Flop
Thore - Keep Distance,1,Normal,0,No,0,No,action,1,Yes,1,Yes,1,Yes,Rahul Sood,Lakhvinder Singh,Ahmed Hussain,10,"₹ 25,00,000.00","₹ 2,25,000.00",Flop
Haseena,1,Normal,0,No,0,No,thriller,0,No,0,No,1,Yes,Raj Babbar,Vicky Ranawat,Rajan Bawa,5,"₹ 1,50,00,000.00","₹ 6,75,000.00",Flop
Hot Mashooka - A Dangerous Lover,1,Normal,0,No,0,No,drama,0,No,1,Yes,1,Yes,Raj Gautam,Arjun Raj,Madan Atram,15,"₹ 60,00,000.00","₹ 33,00,000.00",Flop
Kaamguru,1,Normal,0,No,0,No,adult,1,Yes,1,Yes,1,Yes,Raj Rajawat,Shakeel S. Saifee,Abhijeet Kumar,2,"₹ 15,00,000.00","₹ 4,50,000.00",Flop
Mastani Bhabhi,1,Normal,0,No,0,No,adult,1,Yes,1,Yes,1,Yes,Raj Rajawat,Shakeel S. Saifee,Abhijeet Kumar,1,"₹ 15,00,000.00","₹ 8,00,000.00",Flop
The Waiting Room,1,Normal,0,No,0,No,suspense,0,No,1,Yes,0,No,Raj Singh Chaudhary,Maneej Premnath,Luv - Kush,5,"₹ 1,00,00,000.00","₹ 50,000.00",Flop
Antardwand,1,Normal,0,No,0,No,drama,0,No,1,Yes,0,No,Raj Singh Chaudhary,Sushil Rajpal,Bappi - Tutal,115,"₹ 4,00,00,000.00","₹ 26,50,000.00",Flop
Yeh Khula Aasman,1,Normal,0,No,0,No,drama,1,Yes,1,Yes,0,No,Raj Tandon,Gitanjali Sinha,Anand - Milind,100,"₹ 2,75,00,000.00","₹ 37,00,000.00",Flop
Eight - Shani,0,Holiday,0,No,0,No,thriller,1,Yes,0,No,0,No,Raj Tara,Karan Razdan,Daboo Malik,20,"₹ 2,50,00,000.00","₹ 9,00,000.00",Flop
13 May Gulabi Nagar,0,Holiday,0,No,0,No,action,1,Yes,1,Yes,0,No,Raj Verma,P. Vinod Gupta,Laxmi - Vasant,4,"₹ 30,00,000.00","₹ 1,65,000.00",Flop
Take It Easy,0,Holiday,0,No,0,No,drama,0,No,1,Yes,1,Yes,Raj Zutshi,Sunil Prem Vyas,Subhi,350,"₹ 2,25,00,000.00","₹ 51,00,000.00",Flop
Jai Jagdambey Maa,0,Holiday,0,No,0,No,mythological,1,Yes,1,Yes,1,Yes,Rajan Verma,Jagdish Thanwar,Chandraprakash Dwivedi,3,"₹ 20,00,000.00","₹ 1,30,000.00",Flop
Ashok Chakra Tribute To Real Heroes,1,Normal,0,No,0,No,drama,0,No,1,Yes,1,Yes,Rajan Verma,S.P. Muneshwar,Arun Bakshi,25,"₹ 1,25,00,000.00","₹ 4,50,000.00",Flop
Dhamkee - The Extortion,1,Normal,0,No,0,No,drama,0,No,1,Yes,1,Yes,Rajat Bedi,Aziz Chhapra,Mahesh Sharma,20,"₹ 90,00,000.00","₹ 18,50,000.00",Flop
...And Once Again,0,Holiday,0,No,0,No,drama,0,No,0,No,0,No,Rajat Kapoor,Amol Palekar,Debajyoti Mishra,35,"₹ 2,50,00,000.00","₹ 7,00,000.00",Flop
Siddharth - The Prisoner,1,Normal,0,No,0,No,drama,0,No,1,Yes,0,No,Rajat Kapoor,Pryas Gupta,Sagar Desai,40,"₹ 1,75,00,000.00","₹ 10,75,000.00",Flop
Raat Gayi Baat Gayi,0,Holiday,0,No,0,No,drama,0,No,1,Yes,0,No,Rajat Kapoor,Rangita Pritish Nandy,Ankur Tewari,150,"₹ 6,00,00,000.00","₹ 95,00,000.00",Flop
I Am 24,1,Normal,0,No,0,No,comedy,0,No,0,No,0,No,Rajat Kapoor,Saurabh Shukla,Jatin Pandit,75,"₹ 4,25,00,000.00","₹ 31,00,000.00",Flop
